Year_beginning,Quarter,Class_num,Section,Instructor,Enrollment,
2017,Fall,110,1,Oloo,27,
,,112,1,West,26,
,,112,2,Swoboda,30,
,,113,1,Intermont,29,
,,214,1,Barth,31,
,,240,1,Intermont,25,
,,250,1,Howser,29,
,,260,1,Nordmoe,28,
,,260,2,Nordmoe,26,
,,310,1,Barth,27,
,,310,Indep. St.,Barth,1,279
,Winter,111,1,Oloo,22,
,,112,1,West,29,
,,112,2,Intermont,26,
,,113,1,West,22,
,,113,2,Intermont,21,
,,260,1,Barth,31,
,,280,1,Barth,18,
,,316,1,Oloo,16,
,,360,1,Nordmoe,13,
,,362,1,Nordmoe,25,
,,398,Indep. St.,Intermont,1,
,,450,Indep. St.,Intermont,2,226
,Spring,105,1,Barth,30,
,,112,1,Oloo,28,
,,113,1,West,20,
,,113,2,Intermont,16,
,,214,1,Barth,28,
,,240,1,West,32,
,,250,Indep. St.,Howser,2,
,,261,1,Nordmoe,26,
,,330,1,Oloo,27,
,,365,1,Nordmoe,18,
,,420,1,Intermont,3,
,,498,Indep. St.,West,2,232
2018,Fall,110,1,West,20,
,,110,2,Lily Nordmoe,20,
,,112,1,West,30,
,,112,2,Oloo,28,
,,113,1,Oloo,30,
,,198,Indep. St.,Barth,1,
,,214,1,Barth,28,
,,240,1,Intermont,16,
,,250,1,Cutter,38,
,,260,1,Nordmoe,28,
,,260,2,Nordmoe,26,
,,310,1,Barth,24,
,,398,Indep. St.,West,2,
,,SEMN 108,,Intermont,16,307
,Winter,111,1,West,19,
,,111,2,Lily Nordmoe,18,
,,112,1,Oloo,27,
,,113,1,Oloo,28,
,,113,2,Intermont,19,
,,260,1,Barth,32,
,,280,1,Barth,18,
,,295,1,Nordmoe,25,
,,318,1,Intermont,8,
,,362,1,Nordmoe,23,
,,498,Indep. St.,Oloo,1,218
,Spring,105,1,Barth,32,
,,112,1,Oloo,28,
,,113,1,Intermont,22,
,,113,2,Intermont,14,
,,214,1,Barth,31,
,,240,1,West,30,
,,240,Indep. St.,West,1,
,,261,1,Nordmoe,30,
,,270,1,Erdi,14,
,,298,Indep. St.,Nordmoe,2,
,,300,1,Cutter,33,
,,320,1,Oloo,18,
,,365,1,Nordmoe,17,
,,430,1,West,5,277
2019,Fall,110,1,Gandini,20,
,,110,2,Oloo,21,
,,112,1,Nguyen,30,
,,112,2,Gandini,30,
,,113,1,Nordmoe,29,
,,214,1,Oloo,27,
,,240,1,Intermont,28,
,,260,1,Nguyen,29,
,,260,2,Nordmoe,29,
,,310,1,Barth,21,
,,498,Indep. St.,Oloo,1,
,,SEMN 108,,Intermont,16,281
,Winter,111,1,Gandini,16,
,,111,2,Oloo,22,
,,112,1,Nguyen,35,
,,113,1,Intermont,18,
,,113,2,Intermont,10,
,,250,1,Gandini,33,
,,260,1,Nguyen,30,
,,280,1,Barth,21,
,,316,1,Oloo,17,
,,360,1,Nordmoe,14,
,,362,1,Nordmoe,22,
,,398,Indep. St.,Oloo,1,
,,450,1,Cutter,22,261
,Spring,105,1,Barth,39,
,(Online due,112,1,Nguyen,34,
